Bot server listening on port 4000
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
user has benn saved: userID:1858850134137175, name:Aldo Monteiro, hasLong:true
